tweettextcleaned,sentiment
Good morning! $SPX setting up to test 3393 next. it needs to hold above 3337 today.. under 3337 can test 3300 again $ZM up almost 4.. 450 might be the short term bottom.. if it starts to run it should close above 477 by tmrw $TSLA setting up for 420+ Good luck everyone!,0
"When to consider reducing your position size or staying cash - News driven days (Fed days, Speeches, Announcements, Elections) - Earnings Reports - SPX/QQQ trading in a tight range - High volatility / choppy conditions",0
Good evening! $SPX closed at 3310. Election results coming tmrw night I would consider calls above 3337 Target 3393 I would consider puts under 3279 Target 3233 $ZM if this can break above 461 it can test 477-490 next.. ZM under 446 can pull back to 410 Have a GN!,2
"Thank you very much for how you've taught all of us to exhibit patience during these choppy few weeks! It has saved my brokerage account quite the amount of losses, as in the past I would chase trade and be chopped up.",2
"Great Service! Highly recommend!!! I have learned a lot from a strong trading mentality, managing my account, and the importance of key levels (s/r)",2
"$SPX big reversal from the highs.. down 50.. under 3279 can drop towards 3259,3233 Tech stocks getting crushed.. $AMZN to 2870 next $ZM possible to see 400-410 before it bounces",0
$AAPL SPECIAL APPLE EVENT SCHEDULED FOR 10 AM PST ON NOVEMBER 10,2
Choppy day so far... $SPX still holding above 3300.. if it fails there it can drop another 20-25 points.. $AAPL green to red.. possible to see 103-106 this week,0
Good morning! $SPX needs back through 3337 otherwise it can get choppy again leading into the election.. SPX under 3279 can test 3259 $NIO upgraded looks like it can run to 40+.. It's up 3 premarket.. best to hold above 32 $TSLA needs back above 400 to consider calls GL!,0
"Two-Day Risk-Free Trial To Sign Up - Visit - Login, Subscribe and Pay - If you are not satisfied, you will be fully refunded Are you ready To Trade With Insight? -- $AMZN $AMD $BA $BABA $SNAP $FB $AAPL $GOOGL $NFLX $ROKU $TSLA $SPX $SPY $DKNG $ZM",0
Congrats to those who continue to manage their accounts through these difficult conditions and earnings. Continue to preserve your capital.. there are going to be some great opportunities presented in November. Keep up the good work members!,2
"$SQ - Earnings Trade Idea - Nov 6 170C - bid/ask 2.69/2.87 Closed at 154.88 on Friday. Needs back above 158 to test 163, 170. ER Thursday After Hours (17-18 pt moved priced in) - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP",0
"$NIO - Swing Trade Idea - Dec 4 34C - bid/ask 2.61/2.76 Closed at 30.58 on Friday. NIO above 32 can run to 35.93, 36.79, 39.71 next. If NIO fails at 30 it can test 27, 25. - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP $SPCE",0
$BABA - Earnings Trade Idea - Nov 6 325C - bid/ask 4.30/4.70 Closed at 304.61 on Friday. Calls can work above 310 Puts can work under 300 ER Thursday AH (25-26 pt moved priced in) - $AMZN $AAPL $AMD $SQ $FB $TSLA $MSFT $ROKU $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP,0
"$PINS - Trade Idea - Nov 6 62C - bid/ask 1.55/1.77 Closed at 58.95 on Friday Pins moved to 68+ after ER but pulled back to 57 the next day I would like to see PINS back above 60 to test 63, 69 - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $COST $ZM $SQ",0
Happy Halloween Everyone!,2
"Good afternoon everyone! If anyone has any chart requests, questions about trading/trading psychology, or about subscribing to the private twitter, please feel free to ask! Sign up $AAPL $SPY $AMZN $FB $TSLA $SPX $BA $NFLX $NVDA $GOOGL $ZM $BABA $AMD",1
My daily routine consists of - Morning and evening meditation (60 minutes) - Working out (90 minutes) - Intermittent fasting - 2-3 hours of studying trades/charts/news What does your daily routine consist of?,1
"First day trading with and have already paid for more than a year's worth of membership! Your levels, alerts, and commentary are spot on and mesh well with my strategy. I look forward to learning and growing as a trader with you all",2
"October stats Another month done, start was incredible, this week the toughest with not many setups in low floats but happy to end with a record one and first ever all-green month too! Next. daytrading stocks Thanks to all the guidance in and",2
Its important to be open to playing calls or puts on any given day. We absolutely crushed puts this Lotto Friday! $GOOGL 1650P $9.50 -&gt; $40.00 $AMZN 3000P $3.00 -&gt; $9.42 $SPY 325P $1.11 -&gt; $2.82 We hope you all have a fantastic Halloween weekend,2
"$SPX held 3259 so far.. if it can get through 3279 it can test 3300 next $GOOGL needs through 1635 to test 1650,1664.. under 1600 can drop another 40 points",0
Hope you all had a great Lotto Friday! Most importantly have a safe and relaxing weekend. Cheers,2
"Wow big dump on $SPX through 3279, puts paid if you bought the break.. if $SPX fails at 3233 it can drop to 3200 next $GOOGL down 60 from the highs.. possible to see 1600 next $AMZN weak, down 130 points.. 3000 can come next week",0
"Good morning! $SPX under 3279 can pull back towards 3259,3233. If SPX can't get through 3300 we can see a bigger sell off today $GOOGL 1700 big level to break above.. if it gets through 1700, possible to see a run to 1725 next Good luck everyone!",0
"Our greatest glory is not in never falling, but in rising every time we fall. - Confucius",1
$SPX closed at 3310. Futures are red after $AAPL $AMZN $FB moving lower after reporting earnings. If SPX fails at 3259 it's possible to see a drop to 3213. SPX under 3213 can drop to 3154. The market is waiting for the outcome of the elections on Tuesday. Have a GN!,0
"$FB Facebook Q3 EPS $2.71 Beats $1.91 Estimate, Sales $21.47B Beat $19.82B Estimate $FB almost at 300 after hours..",2
"$GOOGL Alphabet Q3 EPS $16.40 Beats $11.21 Estimate, Sales $46.17B Beat $42.88B Estimate GOOGL up 100+ after hours",2
"$NFLX NETFLIX IS INCREASING ITS MOST POPULAR PLAN TO $14 TODAY, PREMIUM TIER INCREASING TO $18 - THE VERGE",0
$SPX calls are paying if you bought above 3300.. 3337 coming soon,2
"$SPX back through 3300 now at 3315..it still needs through 3337.. if $AAPL $AMZN earnings are positive, we can see the market rally higher tomorrow $TWTR reporting earnings today.. 58C can work as a lotto",0
TRUMP SAYS GOING TO DO BIG AID PACKAGE AS SOON AS ELECTION OVER,0
$PINS nice move at the open.. calls paid you bought quickly.. If PINS can hold the 63 level it can move back up towards 69 next week $FB strong.. if it closes near 283 it can trade around 300 after earnings $SPX up 30 from the lows.. it needs back through 3300 to test 3337,2
"Good morning! $SPX small gap up, it needs back above 3300 otherwise we can see another sell off towards 3233 into Friday $PINS large gap up so its possible to see a dip at the open, under 63 can pull back near 59-60.. if the market holds PINS can run towards 69+ Good luck!",0
"After realizing a bigger loss, its important to take a step back and reflect on why you took the loss and what you can do to avoid it next time. Most traders end up revenge trading and turning a big loss into a massive one. DONT be like most traders.",0
$PINS - Trade Idea - Oct 30 65C Closed at 48.78 today PINS is up near 65 after reporting earnings If PINS can hold 63 it can run to 69-74 next Look for a 3-4 point pull back for an entry for calls - $AMZN $AAPL $AMD $BA $SNAP $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $NFLX $SNOW,2
Good evening! $SPX has dropped 281 pts since Oct 12th. 3233 is a key level to hold for this week I would consider calls above 3300 Target 3337 I would consider puts under 3259 Target 3233 $PINS up 35% after earnings This will be a $100+ stock in 2021 Have a GN!,0
Very choppy price action for the past few hours.. Let's see if $SPX can hold above 3300 tomorrow and move back towards 3337-3355 $PINS $FSLY $ETSY $NOW earnings coming after hours followed by $AMZN $GOOGL $FB $AAPL on Thursday,0
"Good morning! $SPX down 65, if SPX fails at 3337 it can test 3300 next 3300P can work under 3337 $BABA needs back through 315 to test 321,328..let's see if this can go red to green Lots of tech earnings tomorrow, be patient wait for a clearer direction Good luck everyone!",0
Good evening! $SPX choppy day. I'd be cautious until SPX can close above 3426 The market is awaiting the outcome of the elections. We will see a big move next Wed. Be patient $FSLY dropped from 136 to 72 FSLY is in a support area from 73-76. Calls can work &gt; 77 Have a GN!,0
$BABA getting close to 321.. it can run another 10-15 pts if it closes above this level $AMZN nice recovery from yesterdays lows... 3344 can come by Thursday,2
"$SPX still very slow today, it's in a tight range.. $BABA setting up for a move to 321-328 today.. It finally broke through 310.. needs to hold this level to continue higher $SHOP if it closes over 1076 it can test 1100-1120 this week",0
"Good morning! $SPX keep an eye on 3426 and 3393 for today.. It needs back through 3426 to bounce towards 3458 $AAPL if this fails at 114 it can test 112,110.. Let's see if it can close through 116 and move towards 119 by earnings on Thursday Good luck everyone!",0
If youre up 5K going into this week.. and this week looks harder/volatile.. why risk your hard-earned profits in challenging conditions? You have to learn to wait for momentum and the right trades if you want to grow your account.,0
"Good evening! What a day, big drop on $SPX from 3341 to 3364 I would consider calls above 3400 Target 3426,3458 I would consider puts under 3393 Target 3355 $AAPL for tmrw if AAPL can break above 116 it can test 119,122. 120C can work as an earnings lotto Have a GN!",0
"$SPX big dump triggered once it broke 3426.. hope you all grabbed some puts.. lets see if SPX can hold above 3355 and move back near 3400 Very weak day so far, be careful if you're holding any large call positions",0
"$SPX failed at 3426, now at 3390.. possible to see 3350 next if it stays under 3393 $AMZN big reversal.. moved up 80 points now at 3203.. needs to hold 3200 otherwise it can drop another 50 $AAPL weak, couldn't hold the 116 level now at 114.. 112,110 next",0
"Good morning! $SPX needs to hold 3426 today otherwise it can see a bigger sell off towards 3355. Lots of earnings reports this week followed by elections next Tues.. $PINS setting up for a move to 60+, it needs to close above 54.06 next Good luck!",0
"Two-Day Risk-Free Trial To Sign Up - Visit - Login, Subscribe and Pay - If you are not satisfied, you will be fully refunded Are you ready To Trade With Insight? -- $AMZN $AMD $BA $BABA $SNAP $FB $AAPL $GOOGL $NFLX $ROKU $TSLA $SPX $SPY $DKNG $ZM",1
"This week tested the patience of many, including myself, but we still managed to find some good trades in this volatile environment. Remember to continue to be patient and wait for the right opportunities. Keep up the great work, members!",2
$AAPL - Earnings Trade Idea - Oct 30 121C - bid/ask 1.32/1.34 Closed at 115.04 on Friday If AAPL can hold above 114 it can start to bounce into earnings ER Thursday AH (7-8 pt move priced in) - $AMZN $AMD $BA $SNAP $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $NFLX $SNOW $BYND,2
$SNAP - Trade Idea - Oct 30 45C - bid/ask 1.01/1.02 Closed at 43.17 on Friday. Continued to move higher after gapping up from 28 after their ER last week. Above 43.23 can move towards 49-51 next - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $BYND $ZM,2
"$SNOW - Trade Idea - Oct 30 280C - bid/ask 5.10/5.70 Closed at 265.05 on Friday. Needs back above 275 to consider calls Under 265 can pull back to 259, 253 - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $CRM $COST $ZM $NVDA $BYND $SNAP $SQ $WMT $NFLX $SPCE",0
"$NCLH - Swing Trade Idea - Jan 15 2021 22.5C - bid/ask 1.57/1.93 Closed at 18.35 on Friday. If NCLH can close above 18.66 it should set up for a move to 22.45, 25.35, 26.94 next - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $SNOW $ZM $NVDA $BYND $SNAP $SQ",2
"Good afternoon everyone! If anyone has any chart requests, questions about trading/trading psychology, or about subscribing to the private twitter, please feel free to ask! Sign up $AAPL $SPY $AMZN $FB $TSLA $SPX $BA $NFLX $NVDA $GOOGL $ZM $BABA $AMD",1
"Thank you, DT! Have a great weekend everyone!",2
"The past several weeks have been some of the hardest weeks I have ever traded. I made some mistakes, but most importantly - I learned from them. Without and their amazing community, I am not sure where I would be where I am today. Hit my 30K goal and onto the next!",2
$PINS getting closer to 54 target... possible to see 60-63 on the next move higher,2
Another very choppy day.. $SPX 3458 level has been a tough one all week.. let's see if it can break through and hold today $FB setting up for a move to 292 next week. Earnings are on Oct 29th.. Let's see if FB can run towards 292-300 by then,0
"MNUCHIN SAYS IF PELOSI WANTS TO COMPROMISE, THERE WILL BE A COVID-19 AID DEAL",1
$SNAP nice run today... 40c is paying if you bought above 39.. 45 coming next,2
Appreciate the mention and team! We hope you all have a great Lotto Friday and a relaxing weekend,2
"Good morning! $SPX gapping up 11, possible to see 3477-3500 if it holds above 3458 level $GOOGL setting up for a move to 1650 next, it needs to hold above yesterday's high at 1615 to continue higher Good luck everyone!",2
If you cant follow your trading rules now.. why would you be able to later?,0
Good evening! $SPX tested 3458 for the 4th time this week and failed Watch 3458 for a breakout to 3500 I would consider calls above 3458 Target 3500 I would consider puts under 3426 Target 3393 $SNAP setting up for a run to 45.62 next. 40C can work above 39 Have a GN!,0
"Very choppy day so far.. Let's see if $SPX can continue to defend 3426, if it closes under SPX can gap down again tomorrow The market seems like it's waiting for news.. be patient wait for the right trades",0
Pelosi Says Stimulus Talks With Trump Admin. On Good Path; Soon Will Be Ready To Put Pen To Paper On Stimulus Bill -Reuters,2
"Good morning! $SPX down 7, let's see if it can defend 3426 and start to move higher.. 3458 breakout level for a run to 3500 $TSLA up 19 premarket.. above 450 can test 460-470.. under 432 can pull back to 420 $AMZN if it closes above 3200 it can test 3242,3275 Good luck!",0
These types of weeks expose your worst habits as a trader. If you dont learn to resist FOMO and wait for the conditions you perform best in.. you will blow up your account one day. Dont be another statistic.,0
Played smaller due to the overall market conditions but $GOOGL calls paid on the 1587 break! Patience pays! Thanks Brando,2
"Under 509 $ZM - Trade Idea - Oct 23 500P Levels below 500, 490, 485 Over 520 $ZM - Trade Idea - Oct 23 530C Levels above 529, 540, 552 For tomorrow, let's see if ZM can defend 509 - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $LRCX $COST $NVDA $BYND $SPCE $SQ",0
"Good evening! $SPX closed at 3435. It failed to show signs of a bounce The market is getting impatient with the stimulus, A sell can come if no deal before election I would consider calls &gt; 3458 Target 3477,3500 I would consider puts &lt; 3426 Target 3393,3355 Have a GN!",0
"$FB setting up for a move to 292 next, it just needs to continue to hold above 278 $TSLA earnings after hours.. let's see if TSLA can move towards 500 or back under 400 $SPX held again.. now back near 3458.. if it closes above it can gap up near 3477",2
PELOSI SAYS THERE IS A PROSPECT FOR A COVID-19 AID DEAL -MSNBC INTERVIEW,1
"$SNAP strong, if it breaks through 40 it can run to 43-45 next $GOOGL strong move today.. if it closes through 1600 it can run to 1650+ $SPX rejected at 3458 again, needs back above this level to test 3477,3500",2
"Good morning! $PINS possible to see 54 next if it can hold above 49 $SNAP setting up for a run to 40, under 34.10 can pull back towards 30-32 $SPX keep an eye on 3477, if it can close above it should test 3500 Good luck everyone!",2
Good evening! $SPX held the 3426 key lvl and closed at 3443 I would consider calls above 3477 Target 3500 I would consider puts under 3426 Target 3393 $PINS is up 2.5 after $SNAP earnings.. if PINS can continue to close above 46 it should move to 50-54+ next Have a GN!,2
These $SNAP calls are going to pay tomorrow,2
ROMNEY WOULD OPPOSE PELOSI-MNUCHIN DEAL AT $1.8T OR MORE,0
PELOSI SAYS HOPES TO HAVE INDICATION OF POSSIBLE COVID-19 AID DEAL BY END OF TUESDAY,2
"$SPX trading in a range so far today.. if it can close through 3458 it can test 3477-3500 tomorrow.. We'll get an update later today on the stimulus talks.. $AAPL held 116 so far now at 117+, lets see if it can break above todays highs and test 119 next",0
PELOSI and MNUCHIN will speak at 3 p.m. - Politico,1
"Good morning! $SPX up 10, continue to watch 3426.. if SPX fails there it can trigger another sell off today.. it needs back above 3458 $AAPL needs to hold 116 otherwise it can pull back to 114,110 next.. if 116 holds it can move back towards 119,122,125 Good luck everyone!",0
"If you have a small account or 0 profits to play with.. you have NO business holding trades through earnings.. Lose the gambling mentality and focus your time, energy, and capital on higher probability trades. The sooner you stop gambling, the sooner you will achieve consistency.",0
"Good evening! $SPX quickly failed at 3500 and closed near the lows at 3427 I would consider calls above 3426 Target 3458,3477 I would consider puts under 3426 Target 3393,3355 $PINS for tmrw keep an eye on 46.31..PINS can run to 49.48,54.06 on the next run Have a GN!",0
Pelosi to caucus Negotiators still trying to reach a relief deal Pelosi Reiterated That Her Deadline for A Deal is Tomorrow - Politico,0
"$PINS new all time high.. if this can close above 46 it can run to 50 next $SQ strong, right near 191, if it closes through 191.. 200 can come $SPX rejected at 3500 now at 3470.. possible to see 3426 if we see another sell off tomorrow",2
